folder,file,capture_date,date_source,note
culinary,00-image.jpg,,unknown,deconstructed mango lassi
culinary,01-20190830-IMG_9976.jpg,2019-08-30 13:53:12,exif,"Yellow tomato gazpacho, up close: bronze fennel, cucumber blossom and the tiniest curls of Fresno chile."
culinary,02-IMG_0276.jpg,2019-10-31 12:45:23,exif,"espelette and kaffir lime dusted chicharrón sits atop Duroc pork belly braised in cardamom, ginger and star anise.
Marigolds, thai basil, nasturtium, kaffir lime, and a curly ""pig's tail"" of crispy pork rind."
culinary,03-IMG_0256.jpg,2019-10-31 12:38:17,exif,"Quince poached in apple cider and pear liquor with pickled mustard seeds, Thai basil and tamarind puree compliment our braised duroc pork belly."
culinary,04-TemporisTruffles-10.jpg,2019-10-26 15:30:10,exif,"Every week @marinellotartufi brings us a bounty of white truffles, 48 hours after being hand picked in Italy by his uncle. The aroma reminds us it is winter and the season of luxury and celebrations. We are lucky to be able to work with him."
culinary,05-20180816-IMG_0549.jpg,2018-08-16,filename,"Siberian reserve caviar, potato gnocchi, white asparagus cream"
culinary,06-20190815-IMG_9497.jpg,2019-08-15 15:51:02,exif,"Candied key lime shell atop salted pineapple gel, filled with pineapple boba and mojito foam. A one-bite mojito, in other words."
culinary,07-20190523-_DSC8091-1.jpg,2019-05-23 13:43:18,exif,"Thyme sprig is the brush, roasted carrot the canvas in our tableside Scallop presentation. Hokkaido scallop glazed with lemongrass caramel. Garnished with cordycep mushroom and candied pumpkin seed. Dotted with raw green almonds, kinome, Afghan golden raisin and saffron puree. All awaiting a pour of aromatic carrot broth."
culinary,08-20190228-_DSC9189.jpg,2019-02-28 14:59:31,exif,Uni
culinary,09-20190815-IMG_9589.jpg,2019-08-15 16:10:57,exif,"elote, the Mexican street food. The sweetest baby corn from Three Sisters Garden is the star here. Autumn truffles shaved tableside.
A play on elote, starring the cutest baby corn from Three Sisters Garden, black truffle aioli, finger limes and extra truffles, shaved tableside."
culinary,10-20190703-_DSC8397.jpg,2019-07-03 16:43:56,exif,
culinary,11-20190711-IMG_9273.jpg,2019-07-11 16:14:00,exif,Sauternes vinegar. squash blossom
culinary,12-20190711-_DSC8636.jpg,2019-07-11,filename,"What you see: squash blossom, smoked foie bubbles, chive blossoms. What you don’t: fermented mushroom, chocolate consommé, Sauternes vinegar."
culinary,13-20190815-IMG_9484.jpg,2019-08-15,filename,
culinary,14-IMG_0009-2.jpg,2019-10-31 12:02:56,exif,"crispy nest of sweet potato, coconut and bubble gum hyssop. Okinawa sweet potato, presented here as a custard, adorned with roasted pieces. Bourbon and toasted pumpkin seeds carries the warmth. A glimpse into autumn with textures and flavors of sweet potato, bourbon, and pumpkin"
culinary,15-20171005-IMG_9575-1.jpg,2017-10-05 16:16:26,exif,"cauliflower course with fermented sunchoke purée, rye pain perdu, and black lime gelée."
culinary,16-20171005-IMG_9577-2.jpg,2017-10-05,filename,"cauliflower course with fermented sunchoke purée, rye pain perdu, and black lime gelée."
culinary,17-20190329-_DSC9744.jpg,2019-03-29 14:09:38,exif,"Made by nuns at a remote abbey in 16th-century France, in the heart of the famed Jura region, Galant des Abbesses is now exclusively produced by 15th-generation French winemakers Jean Bourdy and his brother according to the same secret recipe. We’re fortunate to be one of only a handful of restaurants in Chicago to serve Galant des Abbesses. It stars in our cocktail, On An Autumn Wind. On its own, it smells like autumn in a glass. Experience it for yourself."
culinary,18-20171005-IMG_9533.jpg,2017-10-05 15:54:57,exif,"Crab BLT
Alaskan king crab / bacon foam / hydroponic tomatoes / puffed farro piccolo / clam broth / fennel oil"
culinary,19-20171005-IMG_9540-1.jpg,2017-10-05 15:55:46,exif,Sun Daisy
culinary,20-20171005-IMG_9518.jpg,2017-10-05 15:53:20,exif,"Crab BLT
Alaskan king crab / bacon foam / hydroponic tomatoes / puffed farro piccolo / clam broth / fennel oil"
culinary,21-Caviar2.jpg,2018-02-22 17:07:59,exif,"Siberian reserve caviar,
Purple Potato Powder, Micro Scallion"
culinary,22-Caviar4.jpg,2018-02-22 17:13:55,exif,Siberian Reserve Caviar on a white chocolate pancake.
culinary,23-Uni5.jpg,2018-02-22 17:36:39,exif,"Faroe Island Salmon, Trout Roe, Shiso, Fennel, Cordycep Mushrooms."
culinary,24-Uni3.jpg,2018-02-22 17:32:06,exif,"French Trout Roe under micro fennel with pickled turnip on our Faroe Island Salmon.
Faroe Island Salmon, Uni Broth, Trout Roe, Red Shiso, Micro Fennel, Cordycep Mushrooms, Pickled Turnips."
culinary,25-TemporisFav-22.jpg,2017-06-21 16:47:50,exif,Capellini with lobster parmesan sauce and gooseberries. Come experience a Temporis original.
culinary,26-Copy-of-TemporisFav-24-1.jpg,2017-06-21 16:49:53,exif,"Champagne espuma - another kind of bubbly 🍾
Capellini, uni, lobster Parmesan sauce, blistered gooseberries, champagne espuma, squash blossom, tarragon & Italian summer truffles."
culinary,27-TemporisFav-39-1.jpg,,unknown,"Tunisian octopus, miso glazed eggplant, iberico emulsion, shiitake mushroom and a 🍓."
culinary,28-TemporisFav-30-1.jpg,2017-06-21 17:04:43,exif,"Tunisian octopus, miso glazed eggplant, iberico emulsion, shiitake mushroom and a 🍓."
culinary,29-_DSC9399.jpg,2019-10-31 13:50:26,exif,Juniper smoke.
culinary,30-20190512-_DSC0030.jpg,2019-05-12 15:49:25,exif,
